He has beard. This person wears eyeglasses, goatee and hat.
He is wearing eyeglasses, goatee and hat. He has beard.
He has beard. He wears eyeglasses, goatee and hat.
This male has beard. He is wearing eyeglasses, goatee and hat.
He has beard. This male is wearing eyeglasses, goatee and hat.
This male has beard. He wears eyeglasses, goatee and hat.
He wears eyeglasses, goatee and hat. He has beard.
He is wearing eyeglasses, goatee and hat. He has beard.
He has beard. He wears eyeglasses, goatee and hat.
A person has beard. He is wearing eyeglasses, goatee and hat.
He wears eyeglasses, goatee and hat. A male has beard.
He wears eyeglasses, goatee and hat. A male has beard.
He is wearing eyeglasses, goatee and hat. This person has beard.
This man has beard. He wears eyeglasses, goatee and hat.
He has beard. He is wearing eyeglasses, goatee and hat.
He has beard. A person wears eyeglasses, goatee and hat.
A male has beard. He wears eyeglasses, goatee and hat.
He is wearing eyeglasses, goatee and hat. He has beard.
He has beard. He is wearing eyeglasses, goatee and hat.
A man is wearing eyeglasses, goatee and hat. This man has beard.
